TXN_ID,DATE,MINISTRY_CODE,MINISTRY_NAME,ACCOUNT_CODE,DESCRIPTION,VENDOR,AMOUNT_KES,PAYMENT_METHOD
KE-2400378,07/01/2024,MOE,Ministry of Education,2210201,Communication supplies,BuildRight Contractors,82140.96,CHEQUE
KE-2400379,01/04/2024,MOH,Ministry of Health,2211511,Printing and stationery,Modern Office Systems,7331.99,CHEQUE
KE-2400380,24/06/2024,MOFA,Ministry of Family Affairs,2211101,Medical drugs,United Diagnostics,8079.58,MOBILE_MONEY
KE-2400381,31/01/2024,MOH,Ministry of Health,2211511,Printing and stationery,MediPlus Distributors,2568.99,MOBILE_MONEY
KE-2400382,05/04/2024,MOFA,Ministry of Family Affairs,2211102,Contraceptives and family planning commodities,MediPlus Distributors,288558.55,CHEQUE
KE-2400383,09/02/2024,MOE,Ministry of Education,2211501,Refined fuels,Vitalis Pharma,978.79,CHEQUE
KE-2400384,09/04/2024,MOE,Ministry of Education,2211404,SGBV survivor support services,NextGen IT,133014.02,BANK_TRANSFER
KE-2400385,12/07/2023,MOFA,Ministry of Family Affairs,2211407,Cleaning and fumigation - health facilities,Sunrise Cleaning Services,15562.82,BANK_TRANSFER
KE-2400386,05/04/2024,MOF,Ministry of Finance,3110101,Construction of buildings - health facilities,Nile Motors,2132372.75,CHEQUE
KE-2400387,20/02/2024,MOH,Ministry of Health,2211306,Antenatal outreach services,SafeWater Kenya,300912.35,MOBILE_MONEY
KE-2400388,12/04/2024,MOH,Ministry of Health,2211305,Immunisation outreach,NextGen IT,30329.18,BANK_TRANSFER
KE-2400389,02/07/2023,MOF,Ministry of Finance,2211305,Immunisation outreach,Vitalis Pharma,119287.11,CHEQUE
KE-2400390,15/01/2024,MOI,Ministry of Interior,2211320,Cervical cancer screening,Sunrise Cleaning Services,8961.1,CHEQUE
KE-2400391,05/11/2023,MOH,Ministry of Health,2211320,Cervical cancer screening,GreenLeaf Consultancy,1403395.74,BANK_TRANSFER
KE-2400392,10/11/2023,MOH,Ministry of Health,2211199,General medical consumables,Vitalis Pharma,695496.6,MOBILE_MONEY
KE-2400393,24/02/2024,MOFA,Ministry of Family Affairs,2211308,Youth SRH counselling services,TechnoServ Africa,288885.95,BANK_TRANSFER
KE-2400394,10/07/2023,MOE,Ministry of Education,2211320,Cervical cancer screening,Highlands Print Works,176806.45,MOBILE_MONEY
KE-2400395,18/06/2024,MOI,Ministry of Interior,2211306,ANTENATAL OUTREACH SERVICES,Care Foundation,97070.55,MOBILE_MONEY
KE-2400396,02/04/2024,MOI,Ministry of Interior,2211305,immunisation outreach,MedSupplies Ltd,8306.27,CHEQUE
KE-2400397,14/08/2023,MOE,Ministry of Education,2211308,Youth SRH counselling services,GreenLeaf Consultancy,3458.31,BANK_TRANSFER
KE-2400398,29/05/2024,MOFA,Ministry of Family Affairs,2211404,SGBV survivor support services,TransAfrica Logistics,1618582.86,MOBILE_MONEY
KE-2400399,22/02/2024,MOF,Ministry of Finance,2211102,Contraceptives and family planning commodities,MedSupplies Ltd,352931.44,BANK_TRANSFER
KE-2400400,02/12/2023,MOF,Ministry of Finance,2110101,Basic salaries - permanent employees,MediPlus Distributors,-625983.64,MOBILE_MONEY
KE-2400401,17/05/2024,MOFA,Ministry of Family Affairs,2211308,youth srh counselling services,Highlands Print Works,2551.12,MOBILE_MONEY
KE-2400402,12/03/2024,MOE,Ministry of Education,2211199,General medical consumables,Nile Motors,1467214.39,BANK_TRANSFER
KE-2400403,29/02/2024,MOF,Ministry of Finance,2110101,Basic salaries - permanent employees,Nile Motors,305172.06,CHEQUE
KE-2400404,30/10/2023,MOF,Ministry of Finance,2211201,Laboratory reagents,GreenLeaf Consultancy,1734795.71,BANK_TRANSFER
KE-2400405,15/10/2023,MOI,Ministry of Interior,2210301,Domestic travel,TransAfrica Logistics,320832.65,BANK_TRANSFER
KE-2400406,26/12/2023,MOE,Ministry of Education,2211305,immunisation outreach,MedSupplies Ltd,369015.34,BANK_TRANSFER
KE-2400407,28/10/2023,MOE,Ministry of Education,2211102,Contraceptives and family planning commodities,TransAfrica Logistics,73093.42,BANK_TRANSFER
KE-2400408,14/12/2023,MOI,Ministry of Interior,2211501,Refined fuels,Regional Bank Services,193110.36,CHEQUE
KE-2400409,19/12/2023,MOI,Ministry of Interior,2211101,Medical drugs,MedSupplies Ltd,6330.47,CHEQUE
KE-2400410,30/08/2023,MOH,Ministry of Health,2211105,HIV test kits and ARVs,SafeWater Kenya,18316.05,BANK_TRANSFER
KE-2400411,22/11/2023,MOFA,Ministry of Family Affairs,2211102,Contraceptives and family planning commodities,United Diagnostics,273484.33,CHEQUE
KE-2400412,20/09/2023,MOH,Ministry of Health,2211199,General medical consumables,Vitalis Pharma,34709.08,MOBILE_MONEY
KE-2400413,08/04/2024,MOI,Ministry of Interior,2211501,Refined fuels,GreenLeaf Consultancy,744865.68,BANK_TRANSFER
KE-2400414,19/06/2024,MOH,Ministry of Health,2211105,HIV test kits and ARVs,Sunrise Cleaning Services,18270.43,BANK_TRANSFER
KE-2400415,13/08/2023,MOI,Ministry of Interior,2211404,SGBV survivor support services,United Diagnostics,5070.21,BANK_TRANSFER
KE-2400416,10/04/2024,MOF,Ministry of Finance,3110101,Construction of buildings - health facilities,Highlands Print Works,1025779.33,BANK_TRANSFER
KE-2400417,23/06/2024,MOI,Ministry of Interior,2211404,SGBV survivor support services,MedSupplies Ltd,5989.9,MOBILE_MONEY
KE-2400418,29/05/2024,MOF,Ministry of Finance,2110101,Basic salaries - permanent employees,MediPlus Distributors,275733.32,BANK_TRANSFER
KE-2400419,29/04/2024,MOE,Ministry of Education,2211511,PRINTING AND STATIONERY,MedSupplies Ltd,588498.76,CHEQUE
KE-2400420,27/07/2023,MOF,Ministry of Finance,2211306,Antenatal outreach services,GreenLeaf Consultancy,726794.83,CHEQUE
KE-2400421,08/09/2023,MOF,Ministry of Finance,2210301,Domestic travel,Nile Motors,279779.85,CHEQUE
KE-2400422,22/11/2023,MOH,Ministry of Health,2210201,Communication supplies,Care Foundation,324837.19,MOBILE_MONEY
KE-2400423,26/05/2024,MOI,Ministry of Interior,2210201,Communication supplies,Care Foundation,12025.34,MOBILE_MONEY
KE-2400424,09/11/2023,MOI,Ministry of Interior,2211101,Medical drugs,Highlands Print Works,5338.71,BANK_TRANSFER
KE-2400425,10/07/2023,MOI,Ministry of Interior,2211201,Laboratory reagents,PharmaWest Africa,17022.01,CHEQUE
KE-2400426,23/02/2024,MOH,Ministry of Health,2211320,Cervical cancer screening,Highlands Print Works,1563.95,MOBILE_MONEY
KE-2400427,17/08/2023,MOH,Ministry of Health,2211105,HIV test kits and ARVs,MedSupplies Ltd,608800.47,BANK_TRANSFER
KE-2400428,23/04/2024,MOH,Ministry of Health,3110701,Purchase of vehicles - ambulances,Regional Bank Services,1254.16,MOBILE_MONEY
KE-2400429,19/02/2024,MOI,Ministry of Interior,2211110,Maternity supplies and delivery kits,United Diagnostics,-3117.01,MOBILE_MONEY
KE-2400430,19/08/2023,MOE,Ministry of Education,2211201,Laboratory reagents,NextGen IT,13191.54,BANK_TRANSFER
KE-2400431,26/08/2023,MOH,Ministry of Health,2211105,HIV test kits and ARVs,Regional Bank Services,269561.98,CHEQUE
KE-2400432,21/02/2024,MOI,Ministry of Interior,2210201,Communication supplies,GreenLeaf Consultancy,1926.94,CHEQUE
KE-2400433,12/08/2023,MOH,Ministry of Health,2211199,General medical consumables,GreenLeaf Consultancy,1149.12,CHEQUE
KE-2400434,29/10/2023,MOI,Ministry of Interior,2211105,HIV test kits and ARVs,Care Foundation,6953.86,MOBILE_MONEY
KE-2400435,26/09/2023,MOE,Ministry of Education,2110101,Basic salaries - permanent employees,NextGen IT,180327.01,CHEQUE
KE-2400436,14/07/2023,MOF,Ministry of Finance,2211308,Youth SRH counselling services,Vitalis Pharma,8384.36,CHEQUE
KE-2400437,24/11/2023,MOF,Ministry of Finance,2211199,General medical consumables,GreenLeaf Consultancy,872319.94,CHEQUE
KE-2400438,25/02/2024,MOH,Ministry of Health,2211305,Immunisation outreach,Sunrise Cleaning Services,406523.59,MOBILE_MONEY
KE-2400439,27/03/2024,MOI,Ministry of Interior,2211105,hiv test kits and arvs,Nile Motors,3204.0,CHEQUE
KE-2400440,21/04/2024,MOFA,Ministry of Family Affairs,2211201,Laboratory reagents,TransAfrica Logistics,270758.36,BANK_TRANSFER
KE-2400441,20/02/2024,MOF,Ministry of Finance,2211308,Youth SRH counselling services,NextGen IT,528747.72,CHEQUE
KE-2400442,02/12/2023,MOI,Ministry of Interior,2211511,Printing and stationery,PharmaWest Africa,818292.57,MOBILE_MONEY
KE-2400443,26/04/2024,MOH,Ministry of Health,3110701,Purchase of vehicles - ambulances,Modern Office Systems,1594.14,CHEQUE
KE-2400444,03/06/2024,MOE,Ministry of Education,2211105,HIV test kits and ARVs,Care Foundation,282651.77,MOBILE_MONEY
KE-2400445,20/03/2024,MOF,Ministry of Finance,2211201,Laboratory reagents,PharmaWest Africa,1598082.85,BANK_TRANSFER
KE-2400446,18/05/2024,MOH,Ministry of Health,2211201,Laboratory reagents,United Diagnostics,3445.61,BANK_TRANSFER
KE-2400447,21/01/2024,MOI,Ministry of Interior,2211105,HIV test kits and ARVs,GreenLeaf Consultancy,1413.11,BANK_TRANSFER
KE-2400448,11/05/2024,MOI,Ministry of Interior,2211201,Laboratory reagents,Sunrise Cleaning Services,-30101.36,BANK_TRANSFER
KE-2400449,17/01/2024,MOH,Ministry of Health,3110701,Purchase of vehicles - ambulances,PharmaWest Africa,345945.64,CHEQUE
KE-2400450,17/03/2024,MOI,Ministry of Interior,2210301,Domestic travel,SafeWater Kenya,2241.1,CHEQUE
KE-2400451,04/12/2023,MOI,Ministry of Interior,2211320,Cervical cancer screening,Care Foundation,1635654.12,CHEQUE
KE-2400452,12/03/2024,MOF,Ministry of Finance,2211110,Maternity supplies and delivery kits,MediPlus Distributors,131051.51,BANK_TRANSFER
KE-2400453,13/03/2024,MOFA,Ministry of Family Affairs,2211103,Vaccines,Public Health Institute,26135.31,CHEQUE
KE-2400454,07/08/2023,MOE,Ministry of Education,2211511,Printing and stationery,Care Foundation,292627.07,CHEQUE
KE-2400455,13/06/2024,MOE,Ministry of Education,2211102,Contraceptives and family planning commodities,MediPlus Distributors,15121.07,BANK_TRANSFER
KE-2400456,06/11/2023,MOFA,Ministry of Family Affairs,2211407,Cleaning and fumigation - health facilities,Nile Motors,1481.81,BANK_TRANSFER
KE-2400457,24/06/2024,MOI,Ministry of Interior,2211201,Laboratory reagents,United Diagnostics,77151.25,MOBILE_MONEY
KE-2400458,26/01/2024,MOI,Ministry of Interior,2110101,Basic salaries - permanent employees,NextGen IT,2665.34,BANK_TRANSFER
KE-2400459,24/07/2023,MOH,Ministry of Health,2210201,Communication supplies,Sunrise Cleaning Services,266212.55,CHEQUE
KE-2400460,12/09/2023,MOI,Ministry of Interior,2211308,Youth SRH counselling services,TransAfrica Logistics,1778367.27,BANK_TRANSFER
KE-2400461,23/11/2023,MOF,Ministry of Finance,3110101,Construction of buildings - health facilities,Sunrise Cleaning Services,7395.72,CHEQUE
KE-2400462,26/09/2023,MOE,Ministry of Education,2211105,HIV test kits and ARVs,MediPlus Distributors,89347.65,MOBILE_MONEY
KE-2400463,10/04/2024,MOE,Ministry of Education,2211306,Antenatal outreach services,Public Health Institute,21088.54,BANK_TRANSFER
KE-2400464,17/04/2024,MOH,Ministry of Health,2211305,Immunisation outreach,Care Foundation,4903.96,CHEQUE
KE-2400465,28/01/2024,MOI,Ministry of Interior,3110701,Purchase of vehicles - ambulances,Vitalis Pharma,862263.23,CHEQUE
KE-2400466,14/02/2024,MOI,Ministry of Interior,2211320,Cervical cancer screening,Public Health Institute,2361.52,MOBILE_MONEY
KE-2400467,24/08/2023,MOF,Ministry of Finance,2211103,vaccines,Vitalis Pharma,1446254.12,MOBILE_MONEY
KE-2400468,26/04/2024,MOE,Ministry of Education,3110101,Construction of buildings - health facilities,MediPlus Distributors,298319.24,BANK_TRANSFER
KE-2400469,02/01/2024,MOFA,Ministry of Family Affairs,2211308,Youth SRH counselling services,TechnoServ Africa,296358.15,MOBILE_MONEY
KE-2400470,26/07/2023,MOE,Ministry of Education,2110101,basic salaries - permanent employees,United Diagnostics,1834425.98,CHEQUE
KE-2400471,12/12/2023,MOF,Ministry of Finance,2211305,Immunisation outreach,GreenLeaf Consultancy,253455.02,BANK_TRANSFER
KE-2400472,08/09/2023,MOE,Ministry of Education,2211407,Cleaning and fumigation - health facilities,NextGen IT,376820.64,MOBILE_MONEY
KE-2400473,07/04/2024,MOH,Ministry of Health,2110101,Basic salaries - permanent employees,Sunrise Cleaning Services,2027.94,BANK_TRANSFER
KE-2400474,27/10/2023,MOE,Ministry of Education,2211306,Antenatal outreach services,BuildRight Contractors,33794.24,MOBILE_MONEY
KE-2400475,14/03/2024,MOF,Ministry of Finance,2211101,Medical drugs,Care Foundation,7311.09,BANK_TRANSFER
KE-2400476,24/08/2023,MOE,Ministry of Education,2211199,General medical consumables,MediPlus Distributors,78485.71,CHEQUE
KE-2400477,13/02/2024,MOI,Ministry of Interior,2210301,Domestic travel,Nile Motors,138316.53,CHEQUE
KE-2400478,09/08/2023,MOH,Ministry of Health,2211407,Cleaning and fumigation - health facilities,United Diagnostics,2690.95,CHEQUE
KE-2400479,30/06/2024,MOE,Ministry of Education,2211511,Printing and stationery,United Diagnostics,27960.7,MOBILE_MONEY
KE-2400480,18/07/2023,MOF,Ministry of Finance,2211201,Laboratory reagents,Care Foundation,12756.11,MOBILE_MONEY
KE-2400481,24/07/2023,MOH,Ministry of Health,2211308,Youth SRH counselling services,TechnoServ Africa,901603.82,BANK_TRANSFER
KE-2400482,16/12/2023,MOE,Ministry of Education,2211199,General medical consumables,Modern Office Systems,99715.18,MOBILE_MONEY
KE-2400483,10/07/2023,MOF,Ministry of Finance,2211306,Antenatal outreach services,Regional Bank Services,16551.49,MOBILE_MONEY
KE-2400484,25/02/2024,MOH,Ministry of Health,2211199,GENERAL MEDICAL CONSUMABLES,Highlands Print Works,26492.15,MOBILE_MONEY
KE-2400485,13/09/2023,MOF,Ministry of Finance,2211199,General medical consumables,Sunrise Cleaning Services,15914.59,BANK_TRANSFER
KE-2400486,27/09/2023,MOH,Ministry of Health,2211501,Refined fuels,Care Foundation,2595.14,MOBILE_MONEY
KE-2400487,17/03/2024,MOE,Ministry of Education,2211305,IMMUNISATION OUTREACH,Sunrise Cleaning Services,1523351.05,MOBILE_MONEY
KE-2400488,04/05/2024,MOF,Ministry of Finance,3110101,Construction of buildings - health facilities,BuildRight Contractors,34898.01,CHEQUE
KE-2400489,19/08/2023,MOI,Ministry of Interior,2211103,Vaccines,TransAfrica Logistics,384731.54,CHEQUE
KE-2400490,14/12/2023,MOFA,Ministry of Family Affairs,2211308,Youth SRH counselling services,NextGen IT,88836.59,BANK_TRANSFER
KE-2400491,29/09/2023,MOH,Ministry of Health,2211305,Immunisation outreach,Nile Motors,530312.23,CHEQUE
KE-2400492,04/03/2024,MOFA,Ministry of Family Affairs,3110701,Purchase of vehicles - ambulances,BuildRight Contractors,281986.86,MOBILE_MONEY
KE-2400493,26/09/2023,MOE,Ministry of Education,2210301,Domestic travel,MediPlus Distributors,69159.83,BANK_TRANSFER
KE-2400494,29/05/2024,MOE,Ministry of Education,2211407,Cleaning and fumigation - health facilities,Sunrise Cleaning Services,6456.11,BANK_TRANSFER
KE-2400495,09/12/2023,MOI,Ministry of Interior,2211102,CONTRACEPTIVES AND FAMILY PLANNING COMMODITIES,Public Health Institute,488977.77,BANK_TRANSFER
KE-2400496,12/06/2024,MOE,Ministry of Education,2211201,Laboratory reagents,PharmaWest Africa,1280002.07,CHEQUE
KE-2400497,19/05/2024,MOE,Ministry of Education,2211511,Printing and stationery,TechnoServ Africa,100220.68,BANK_TRANSFER
KE-2400498,23/04/2024,MOI,Ministry of Interior,2211305,Immunisation outreach,MediPlus Distributors,1277.95,CHEQUE
KE-2400499,27/10/2023,MOI,Ministry of Interior,2211306,Antenatal outreach services,Vitalis Pharma,84055.47,BANK_TRANSFER
KE-2400500,04/10/2023,MOE,Ministry of Education,2211404,SGBV survivor support services,Vitalis Pharma,51338.24,MOBILE_MONEY
KE-2400501,17/06/2024,MOH,Ministry of Health,3110101,Construction of buildings - health facilities,TechnoServ Africa,6925.21,BANK_TRANSFER
KE-2400502,14/12/2023,MOI,Ministry of Interior,2211201,Laboratory reagents,SafeWater Kenya,421043.61,BANK_TRANSFER
KE-2400503,21/03/2024,MOF,Ministry of Finance,3110701,Purchase of vehicles - ambulances,TransAfrica Logistics,114955.54,MOBILE_MONEY
KE-2400504,16/03/2024,MOI,Ministry of Interior,2210301,Domestic travel,GreenLeaf Consultancy,1441908.86,BANK_TRANSFER
KE-2400505,25/06/2024,MOI,Ministry of Interior,2211404,SGBV survivor support services,United Diagnostics,6464.27,BANK_TRANSFER
KE-2400506,23/11/2023,MOF,Ministry of Finance,2211404,SGBV survivor support services,MediPlus Distributors,6422.38,BANK_TRANSFER
KE-2400507,21/09/2023,MOE,Ministry of Education,2211101,Medical drugs,PharmaWest Africa,1951.71,MOBILE_MONEY
KE-2400508,22/10/2023,MOF,Ministry of Finance,2211407,Cleaning and fumigation - health facilities,MediPlus Distributors,336974.46,MOBILE_MONEY
KE-2400509,01/06/2024,MOH,Ministry of Health,3110101,Construction of buildings - health facilities,PharmaWest Africa,94831.78,BANK_TRANSFER
KE-2400510,26/01/2024,MOH,Ministry of Health,2211305,immunisation outreach,Vitalis Pharma,792600.45,BANK_TRANSFER
KE-2400511,04/10/2023,MOH,Ministry of Health,2210301,Domestic travel,United Diagnostics,297781.5,CHEQUE
KE-2400512,30/09/2023,MOFA,Ministry of Family Affairs,2211101,Medical drugs,TechnoServ Africa,,BANK_TRANSFER
KE-2400513,25/12/2023,MOI,Ministry of Interior,2211101,Medical drugs,MedSupplies Ltd,6553.47,MOBILE_MONEY
KE-2400514,25/03/2024,MOE,Ministry of Education,2211101,Medical drugs,TransAfrica Logistics,611818.48,BANK_TRANSFER
KE-2400515,11/05/2024,MOE,Ministry of Education,2210201,Communication supplies,Nile Motors,1728.21,MOBILE_MONEY
KE-2400516,18/09/2023,MOE,Ministry of Education,3110101,Construction of buildings - health facilities,Sunrise Cleaning Services,2578.69,CHEQUE
KE-2400517,14/11/2023,MOH,Ministry of Health,3110701,Purchase of vehicles - ambulances,TransAfrica Logistics,4687.91,CHEQUE
KE-2400518,29/08/2023,MOE,Ministry of Education,2211201,laboratory reagents,Regional Bank Services,104024.8,CHEQUE
KE-2400519,10/04/2024,MOI,Ministry of Interior,2210301,Domestic travel,MedSupplies Ltd,3825.21,BANK_TRANSFER
KE-2400520,11/07/2023,MOI,Ministry of Interior,2210201,Communication supplies,Care Foundation,318977.72,BANK_TRANSFER
KE-2400521,05/06/2024,MOE,Ministry of Education,2211102,Contraceptives and family planning commodities,NextGen IT,1857.13,BANK_TRANSFER
KE-2400522,07/09/2023,MOF,Ministry of Finance,2211407,CLEANING AND FUMIGATION - HEALTH FACILITIES,Regional Bank Services,115780.01,BANK_TRANSFER
KE-2400523,15/10/2023,MOH,Ministry of Health,2211320,Cervical cancer screening,Sunrise Cleaning Services,790294.06,CHEQUE
KE-2400524,27/10/2023,MOE,Ministry of Education,2211105,HIV test kits and ARVs,MedSupplies Ltd,308604.08,BANK_TRANSFER
KE-2400525,17/04/2024,MOH,Ministry of Health,2211101,Medical drugs,Care Foundation,3633.09,MOBILE_MONEY
KE-2400526,17/08/2023,MOE,Ministry of Education,2211308,Youth SRH counselling services,TechnoServ Africa,185442.83,CHEQUE
KE-2400527,10/09/2023,MOFA,Ministry of Family Affairs,2210201,Communication supplies,Care Foundation,12201.33,MOBILE_MONEY
KE-2400528,17/11/2023,MOF,Ministry of Finance,2211110,MATERNITY SUPPLIES AND DELIVERY KITS,NextGen IT,7646.08,BANK_TRANSFER
KE-2400529,07/11/2023,MOI,Ministry of Interior,2110101,Basic salaries - permanent employees,Sunrise Cleaning Services,2449.53,MOBILE_MONEY
KE-2400530,28/06/2024,MOFA,Ministry of Family Affairs,3110101,Construction of buildings - health facilities,Public Health Institute,1231.99,BANK_TRANSFER
KE-2400531,18/01/2024,MOI,Ministry of Interior,2211306,antenatal outreach services,Highlands Print Works,791817.82,BANK_TRANSFER
KE-2400532,09/10/2023,MOF,Ministry of Finance,2211110,Maternity supplies and delivery kits,Highlands Print Works,114287.37,CHEQUE
KE-2400533,26/02/2024,MOF,Ministry of Finance,2211105,HIV test kits and ARVs,MedSupplies Ltd,1162142.75,BANK_TRANSFER
KE-2400534,13/07/2023,MOH,Ministry of Health,2211110,Maternity supplies and delivery kits,BuildRight Contractors,2444.09,CHEQUE
KE-2400535,12/04/2024,MOI,Ministry of Interior,2211407,Cleaning and fumigation - health facilities,TransAfrica Logistics,825388.69,CHEQUE
KE-2400536,09/02/2024,MOFA,Ministry of Family Affairs,2211511,Printing and stationery,Public Health Institute,125394.81,MOBILE_MONEY
KE-2400537,22/08/2023,MOH,Ministry of Health,2211105,HIV test kits and ARVs,Public Health Institute,32455.1,CHEQUE
KE-2400538,03/02/2024,MOH,Ministry of Health,2211511,Printing and stationery,Regional Bank Services,226716.82,CHEQUE
KE-2400539,02/03/2024,MOE,Ministry of Education,2210301,Domestic travel,TransAfrica Logistics,1039.32,BANK_TRANSFER
KE-2400540,03/11/2023,MOH,Ministry of Health,2211320,Cervical cancer screening,Vitalis Pharma,16213.44,BANK_TRANSFER
KE-2400541,09/08/2023,MOE,Ministry of Education,2211306,Antenatal outreach services,Regional Bank Services,331179.87,BANK_TRANSFER
KE-2400542,01/10/2023,MOH,Ministry of Health,3110101,Construction of buildings - health facilities,Care Foundation,2301.46,MOBILE_MONEY
KE-2400543,21/09/2023,MOF,Ministry of Finance,2211308,Youth SRH counselling services,Care Foundation,21483.36,CHEQUE
KE-2400544,17/01/2024,MOFA,Ministry of Family Affairs,2211305,Immunisation outreach,NextGen IT,573143.4,MOBILE_MONEY
KE-2400545,21/10/2023,MOI,Ministry of Interior,2110101,Basic salaries - permanent employees,SafeWater Kenya,96555.68,CHEQUE
KE-2400546,06/08/2023,MOE,Ministry of Education,2211404,SGBV survivor support services,Sunrise Cleaning Services,12348.89,BANK_TRANSFER
KE-2400547,14/11/2023,MOF,Ministry of Finance,2211101,Medical drugs,United Diagnostics,1671043.72,MOBILE_MONEY
KE-2400548,09/06/2024,MOFA,Ministry of Family Affairs,2211306,Antenatal outreach services,TechnoServ Africa,435874.2,CHEQUE
KE-2400549,19/08/2023,MOI,Ministry of Interior,3110101,Construction of buildings - health facilities,SafeWater Kenya,100005.29,MOBILE_MONEY
KE-2400550,24/09/2023,MOH,Ministry of Health,2211404,SGBV survivor support services,NextGen IT,23858.14,BANK_TRANSFER
KE-2400551,05/02/2024,MOFA,Ministry of Family Affairs,2211199,General medical consumables,Nile Motors,8190.94,CHEQUE
KE-2400552,30/06/2024,MOE,Ministry of Education,3110701,Purchase of vehicles - ambulances,PharmaWest Africa,22077.27,BANK_TRANSFER
KE-2400553,03/06/2024,MOFA,Ministry of Family Affairs,2211320,Cervical cancer screening,GreenLeaf Consultancy,15968.56,CHEQUE
KE-2400554,30/10/2023,MOFA,Ministry of Family Affairs,2211101,Medical drugs,BuildRight Contractors,917976.95,MOBILE_MONEY
KE-2400555,06/05/2024,MOF,Ministry of Finance,2211110,Maternity supplies and delivery kits,SafeWater Kenya,14014.86,BANK_TRANSFER
KE-2400556,04/08/2023,MOF,Ministry of Finance,2211305,Immunisation outreach,Nile Motors,701010.44,BANK_TRANSFER
KE-2400557,31/12/2023,MOE,Ministry of Education,2211305,Immunisation outreach,GreenLeaf Consultancy,1624229.28,MOBILE_MONEY
KE-2400558,18/06/2024,MOFA,Ministry of Family Affairs,2211102,Contraceptives and family planning commodities,Modern Office Systems,-1544266.46,CHEQUE
KE-2400559,05/06/2024,MOFA,Ministry of Family Affairs,2211306,Antenatal outreach services,Vitalis Pharma,1635.03,MOBILE_MONEY
KE-2400560,25/11/2023,MOH,Ministry of Health,2211105,HIV test kits and ARVs,Vitalis Pharma,33622.22,BANK_TRANSFER
KE-2400561,03/08/2023,MOE,Ministry of Education,3110701,Purchase of vehicles - ambulances,GreenLeaf Consultancy,611930.28,MOBILE_MONEY
KE-2400562,11/11/2023,MOH,Ministry of Health,2211105,HIV test kits and ARVs,Public Health Institute,730402.96,BANK_TRANSFER
KE-2400563,21/11/2023,MOFA,Ministry of Family Affairs,3110101,Construction of buildings - health facilities,TechnoServ Africa,2386.74,CHEQUE
KE-2400564,19/09/2023,MOFA,Ministry of Family Affairs,3110101,CONSTRUCTION OF BUILDINGS - HEALTH FACILITIES,Sunrise Cleaning Services,1258.27,CHEQUE
KE-2400565,23/06/2024,MOE,Ministry of Education,2211407,Cleaning and fumigation - health facilities,PharmaWest Africa,48252.15,BANK_TRANSFER
KE-2400566,29/11/2023,MOH,Ministry of Health,2210201,Communication supplies,Highlands Print Works,341319.25,MOBILE_MONEY
KE-2400567,28/10/2023,MOI,Ministry of Interior,3110101,Construction of buildings - health facilities,Highlands Print Works,5027.31,CHEQUE
KE-2400568,16/07/2023,MOH,Ministry of Health,2211320,Cervical cancer screening,Public Health Institute,31525.3,MOBILE_MONEY
KE-2400569,30/07/2023,MOE,Ministry of Education,2211101,Medical drugs,Public Health Institute,124612.75,BANK_TRANSFER
KE-2400570,11/10/2023,MOF,Ministry of Finance,2211501,Refined fuels,Public Health Institute,939132.8,MOBILE_MONEY
KE-2400571,03/12/2023,MOH,Ministry of Health,2211308,Youth SRH counselling services,Highlands Print Works,98521.06,BANK_TRANSFER
KE-2400572,09/09/2023,MOI,Ministry of Interior,2211105,hiv test kits and arvs,Public Health Institute,7363.11,BANK_TRANSFER
KE-2400573,17/02/2024,MOH,Ministry of Health,2110101,Basic salaries - permanent employees,PharmaWest Africa,1135.55,BANK_TRANSFER
KE-2400574,16/10/2023,MOH,Ministry of Health,2211102,Contraceptives and family planning commodities,Public Health Institute,14509.09,BANK_TRANSFER
KE-2400575,15/11/2023,MOI,Ministry of Interior,2211404,SGBV survivor support services,Modern Office Systems,8795.25,CHEQUE
KE-2400576,02/03/2024,MOF,Ministry of Finance,2211103,Vaccines,United Diagnostics,29909.63,CHEQUE
KE-2400577,29/12/2023,MOF,Ministry of Finance,2211320,Cervical cancer screening,SafeWater Kenya,7922.17,BANK_TRANSFER
KE-2400578,14/02/2024,MOF,Ministry of Finance,2211199,General medical consumables,Modern Office Systems,509547.54,BANK_TRANSFER
KE-2400579,19/05/2024,MOF,Ministry of Finance,2211105,HIV test kits and ARVs,Modern Office Systems,304859.04,BANK_TRANSFER
KE-2400580,03/07/2023,MOI,Ministry of Interior,2211199,General medical consumables,NextGen IT,8571.76,CHEQUE
KE-2400581,11/08/2023,MOI,Ministry of Interior,2211404,SGBV survivor support services,NextGen IT,88434.58,BANK_TRANSFER
KE-2400582,11/02/2024,MOFA,Ministry of Family Affairs,2210301,Domestic travel,NextGen IT,223293.82,CHEQUE
KE-2400583,31/10/2023,MOI,Ministry of Interior,2211103,Vaccines,PharmaWest Africa,614102.01,MOBILE_MONEY
KE-2400584,11/06/2024,MOF,Ministry of Finance,2211101,Medical drugs,GreenLeaf Consultancy,,MOBILE_MONEY
KE-2400585,07/01/2024,MOF,Ministry of Finance,2211101,medical drugs,BuildRight Contractors,143379.46,CHEQUE
KE-2400586,23/03/2024,MOE,Ministry of Education,2211105,HIV test kits and ARVs,Nile Motors,26568.8,CHEQUE
KE-2400587,27/04/2024,MOI,Ministry of Interior,2211320,Cervical cancer screening,Modern Office Systems,1681.2,MOBILE_MONEY
